,positive regulation of metabolic process,positive regulation of phosphorus metabolic process,regulation of catalytic activity,regulation of metabolic process,regulation of primary metabolic process,regulation of protein modification process,regulation of phosphorus metabolic process,regulation of transferase activity,biological regulation,negative regulation of chromosome organization,regulation of cell cycle G2/M phase transition,positive regulation of biological process,regulation of cell population proliferation,negative regulation of biological process,regulation of response to stimulus,regulation of cell projection organization,regulation of cellular component organization,regulation of cell death,regulation of cell differentiation,regulation of localization,regulation of locomotion,positive regulation of multicellular organismal process,regulation of developmental process,regulation of multicellular organismal process,multicellular organismal process,stem cell differentiation,anatomical structure maturation,epithelium development,tissue development,circulatory system development,nervous system development,pattern specification process,sex differentiation,immune system process,reproductive system development,cardiovascular system development,digestive system development,gland development,system development,movement of cell or subcellular component,cell division,cell cycle checkpoint,cell cycle phase transition,meiotic chromosome segregation,meiotic nuclear division,cell projection organization,supramolecular fiber organization,cytoskeleton organization,microtubule polymerization or depolymerization,cellular process,chromosome segregation,mitotic cell cycle,DNA replication,DNA metabolic process,DNA repair,cellular macromolecule metabolic process,DNA geometric change,protein-DNA complex subunit organization,chromosome localization,response to wounding
cell cycle checkpoint,0.07352,0.05534,0.09861,0.10398,0.08037,0.05863,0.07824,0.08109,0.39994,0.05694,0.0667,0.10572,0.09602,0.10464,0.10761,0.09348,0.09216,0.0995,0.09348,0.12154,0.10751,0.09348,0.11536,0.11536,0.36434,0.38591,0.20291,0.18281,0.14209,0.25446,0.29323,0.19271,0.1862,0.18345,0.15631,0.17774,0.17824,0.19131,0.18248,0.4532,0.59985,1.0,0.70431,0.49101,0.44735,0.48452,0.42024,0.48829,0.32956,0.6219,0.5328,0.55111,0.27344,0.20088,0.22746,0.19889,0.18308,0.18773,0.22265,0.11785
cell cycle phase transition,0.07038,0.05388,0.09388,0.09925,0.07661,0.05691,0.07554,0.07817,0.37937,0.05547,0.06441,0.10099,0.09226,0.09992,0.10288,0.09033,0.08824,0.09574,0.09033,0.11533,0.10279,0.09033,0.11063,0.11063,0.34917,0.37404,0.19628,0.17661,0.13761,0.24709,0.28509,0.1867,0.17946,0.17482,0.15131,0.17245,0.17269,0.18589,0.17671,0.43263,0.63609,0.70431,1.0,0.48134,0.43937,0.46934,0.40859,0.46772,0.3207,0.59512,0.5428,0.62072,0.26888,0.19731,0.22329,0.19215,0.17713,0.1802,0.21543,0.11312
meiotic chromosome segregation,0.05136,0.04096,0.06522,0.06759,0.05458,0.04267,0.05305,0.05582,0.26394,0.04201,0.04576,0.06877,0.06307,0.06808,0.06978,0.06255,0.06177,0.06456,0.06255,0.07677,0.06985,0.06255,0.07378,0.07378,0.29101,0.26745,0.13746,0.12766,0.09757,0.18969,0.21562,0.13545,0.12993,0.12393,0.1121,0.12738,0.12563,0.13687,0.12955,0.2999,0.41576,0.49101,0.48134,1.0,0.81221,0.46881,0.42499,0.46127,0.36826,0.60241,0.59273,0.48678,0.22634,0.16608,0.18552,0.2579,0.27375,0.26065,0.22206,0.0748
meiotic nuclear division,0.04705,0.0379,0.05924,0.0612,0.04976,0.03935,0.04834,0.05101,0.23932,0.03885,0.04173,0.06227,0.05718,0.06165,0.06316,0.0569,0.0562,0.05842,0.0569,0.06924,0.06324,0.0569,0.06664,0.06664,0.2664,0.24466,0.12531,0.117,0.08906,0.17571,0.19931,0.12432,0.11905,0.11416,0.10318,0.11733,0.11539,0.12606,0.11912,0.27222,0.38032,0.44735,0.43937,0.81221,1.0,0.46028,0.42061,0.53746,0.47341,0.64752,0.56615,0.55031,0.21469,0.1574,0.17533,0.27716,0.30486,0.28476,0.15375,0.06748
cell projection organization,0.08057,0.0625,0.10491,0.11041,0.08752,0.06603,0.08591,0.08824,0.42492,0.06405,0.07507,0.11207,0.10301,0.11103,0.11383,0.10024,0.09885,0.10642,0.10024,0.12656,0.1138,0.10024,0.12125,0.12125,0.3903,0.42287,0.21815,0.19592,0.15715,0.28319,0.32611,0.207,0.20006,0.18848,0.17238,0.19111,0.19355,0.20486,0.19634,0.48073,0.5305,0.48452,0.46934,0.46881,0.46028,1.0,0.70097,0.57407,0.55129,0.58642,0.55697,0.48888,0.19727,0.22173,0.25136,0.38457,0.42993,0.45235,0.24964,0.12364
supramolecular fiber organization,0.07054,0.05589,0.09017,0.09438,0.07582,0.05868,0.07452,0.07698,0.36443,0.05723,0.06524,0.09584,0.08838,0.09495,0.09725,0.08667,0.08543,0.09095,0.08667,0.10713,0.09729,0.08667,0.10316,0.10316,0.3412,0.36988,0.18945,0.17198,0.13677,0.25375,0.2911,0.18227,0.17552,0.16452,0.15245,0.16942,0.1704,0.18161,0.17343,0.41333,0.45794,0.42024,0.40859,0.42499,0.42061,0.70097,1.0,0.50647,0.49069,0.50239,0.48532,0.42879,0.18311,0.20651,0.23312,0.33989,0.37313,0.39422,0.22334,0.10492
cytoskeleton organization,0.07695,0.06177,0.10135,0.1088,0.08351,0.06504,0.08614,0.08738,0.37036,0.06359,0.07456,0.11071,0.10329,0.10947,0.11303,0.10174,0.09694,0.10805,0.10174,0.12425,0.11283,0.10174,0.12277,0.12277,0.34392,0.39859,0.20717,0.18237,0.15226,0.25491,0.3,0.19393,0.18443,0.19253,0.1587,0.1827,0.1816,0.19301,0.18705,0.43076,0.49688,0.48829,0.46772,0.46127,0.53746,0.57407,0.50647,1.0,0.82657,0.6239,0.61781,0.69069,0.20415,0.20522,0.23303,0.383,0.4916,0.42418,0.2185,0.12618
microtubule polymerization or depolymerization,0.05485,0.04188,0.07216,0.0751,0.059,0.04396,0.05673,0.05995,0.29436,0.0431,0.0479,0.0765,0.06929,0.07568,0.07778,0.06833,0.06758,0.07123,0.06833,0.08716,0.07779,0.06833,0.08282,0.08282,0.27595,0.28482,0.14942,0.13832,0.10368,0.19688,0.22386,0.14594,0.1406,0.13328,0.11803,0.13652,0.13426,0.14711,0.13914,0.33324,0.36556,0.32956,0.3207,0.36826,0.47341,0.55129,0.49069,0.82657,1.0,0.46299,0.49408,0.61184,0.1439,0.16745,0.18734,0.32243,0.3594,0.32908,0.17204,0.08419
cellular process,0.12056,0.09625,0.16232,0.17864,0.13379,0.10246,0.14246,0.13962,0.44721,0.09893,0.12533,0.18106,0.17073,0.17921,0.18534,0.165,0.15627,0.1814,0.165,0.20548,0.18446,0.165,0.20375,0.20375,0.45215,0.38308,0.21008,0.20793,0.20743,0.24335,0.28769,0.1935,0.28747,0.26568,0.21022,0.20955,0.18612,0.19173,0.21335,0.46625,0.55493,0.6219,0.59512,0.60241,0.64752,0.58642,0.50239,0.6239,0.46299,1.0,0.59724,0.63282,0.24228,0.21578,0.22868,0.44439,0.66199,0.52357,0.24063,0.21161
chromosome segregation,0.07371,0.05949,0.09745,0.10489,0.08,0.06258,0.08312,0.08425,0.3846,0.06132,0.07171,0.10681,0.09978,0.10557,0.10913,0.0985,0.09335,0.10454,0.0985,0.11981,0.10893,0.0985,0.11886,0.11886,0.35948,0.41107,0.21374,0.18758,0.1518,0.26446,0.31008,0.20041,0.18959,0.18865,0.16324,0.1841,0.1868,0.19913,0.18852,0.44946,0.55728,0.5328,0.5428,0.59273,0.56615,0.55697,0.48532,0.61781,0.49408,0.59724,1.0,0.6064,0.22895,0.20958,0.2392,0.34837,0.40669,0.35848,0.30065,0.12228
mitotic cell cycle,0.06883,0.05596,0.09053,0.09718,0.07442,0.05871,0.07725,0.07859,0.31618,0.05768,0.0666,0.099,0.09247,0.09784,0.10109,0.09156,0.0868,0.09667,0.09156,0.11066,0.10097,0.09156,0.10988,0.10988,0.29203,0.33304,0.17433,0.15649,0.13156,0.21486,0.25164,0.16419,0.15719,0.16928,0.13386,0.15812,0.15428,0.16515,0.16096,0.36335,0.55348,0.55111,0.62072,0.48678,0.55031,0.48888,0.42879,0.69069,0.61184,0.63282,0.6064,1.0,0.22455,0.18314,0.20331,0.35308,0.45148,0.45967,0.18616,0.11286
DNA replication,0.03705,0.02983,0.04703,0.04834,0.03898,0.03083,0.0377,0.0403,0.15456,0.03067,0.03198,0.04936,0.04501,0.0488,0.05013,0.04518,0.04443,0.04593,0.04518,0.05525,0.05019,0.04518,0.0531,0.0531,0.14548,0.15561,0.07943,0.07526,0.06374,0.11191,0.12843,0.07992,0.07749,0.08668,0.06883,0.08132,0.07675,0.08244,0.0818,0.17005,0.24112,0.27344,0.26888,0.22634,0.21469,0.19727,0.18311,0.20415,0.1439,0.24228,0.22895,0.22455,1.0,0.77173,0.64382,0.36743,0.0889,0.09382,0.09732,0.05372
DNA metabolic process,0.04605,0.03798,0.05777,0.05997,0.04858,0.03933,0.04813,0.05048,0.26445,0.03899,0.04173,0.06111,0.05664,0.06044,0.06207,0.05668,0.05507,0.05802,0.05668,0.06731,0.06214,0.05668,0.06585,0.06585,0.16787,0.18121,0.09112,0.08744,0.07759,0.1304,0.15,0.09086,0.0895,0.10091,0.07942,0.09349,0.0877,0.09292,0.09406,0.19542,0.21565,0.20088,0.19731,0.16608,0.1574,0.22173,0.20651,0.20522,0.16745,0.21578,0.20958,0.18314,0.77173,1.0,0.85475,0.43693,0.11301,0.11639,0.11674,0.14739
DNA repair,0.04333,0.03504,0.05493,0.05697,0.04569,0.03631,0.04497,0.04747,0.3178,0.03609,0.0384,0.05817,0.05366,0.05747,0.05919,0.05389,0.0521,0.05507,0.05389,0.06449,0.05924,0.05389,0.06314,0.06314,0.19114,0.20369,0.10304,0.09783,0.07977,0.14688,0.16829,0.10309,0.09988,0.10373,0.08755,0.10116,0.09767,0.10497,0.10212,0.22291,0.24641,0.22746,0.22329,0.18552,0.17533,0.25136,0.23312,0.23303,0.18734,0.22868,0.2392,0.20331,0.64382,0.85475,1.0,0.41656,0.10626,0.10983,0.12954,0.17802
cellular macromolecule metabolic process,0.06826,0.0546,0.08917,0.09467,0.07372,0.05731,0.07454,0.0765,0.22812,0.05615,0.06442,0.09633,0.0892,0.09529,0.09809,0.08793,0.0849,0.09262,0.08793,0.10802,0.09806,0.08793,0.10551,0.10551,0.18038,0.1736,0.09032,0.09603,0.10519,0.12013,0.13607,0.08728,0.09732,0.13395,0.08138,0.10492,0.08963,0.08886,0.10558,0.21536,0.21614,0.19889,0.19215,0.2579,0.27716,0.38457,0.33989,0.383,0.32243,0.44439,0.34837,0.35308,0.36743,0.43693,0.41656,1.0,0.45393,0.45881,0.12032,0.1079
DNA geometric change,0.06761,0.04984,0.09163,0.09617,0.07397,0.05285,0.07091,0.07425,0.22915,0.05137,0.05968,0.09788,0.08815,0.09685,0.09967,0.08585,0.08502,0.09119,0.08585,0.11349,0.09957,0.08585,0.10681,0.10681,0.17024,0.15609,0.08284,0.08906,0.10458,0.1054,0.11994,0.07914,0.09287,0.14166,0.07288,0.10225,0.08219,0.07891,0.10373,0.20796,0.20475,0.18308,0.17713,0.27375,0.30486,0.42993,0.37313,0.4916,0.3594,0.66199,0.40669,0.45148,0.0889,0.11301,0.10626,0.45393,1.0,0.50285,0.10684,0.10902
protein-DNA complex subunit organization,0.06658,0.05276,0.08844,0.09441,0.07211,0.05548,0.07347,0.07544,0.22081,0.05445,0.06268,0.09624,0.08911,0.0951,0.09831,0.08814,0.08406,0.093,0.08814,0.10867,0.09816,0.08814,0.1068,0.1068,0.16923,0.16256,0.08514,0.08949,0.10398,0.10837,0.12494,0.08064,0.09174,0.13155,0.07436,0.09868,0.08317,0.08064,0.09918,0.2057,0.20286,0.18773,0.1802,0.26065,0.28476,0.45235,0.39422,0.42418,0.32908,0.52357,0.35848,0.45967,0.09382,0.11639,0.10983,0.45881,0.50285,1.0,0.11094,0.10962
chromosome localization,0.07266,0.05634,0.09772,0.10442,0.07929,0.05954,0.08009,0.08209,0.2274,0.05814,0.06822,0.10635,0.09796,0.10513,0.10865,0.09621,0.09234,0.10239,0.09621,0.12133,0.10843,0.09621,0.11808,0.11808,0.22312,0.1947,0.11948,0.12189,0.11845,0.13666,0.15726,0.11554,0.12197,0.15881,0.09794,0.12903,0.11124,0.11754,0.12985,0.34198,0.23953,0.22265,0.21543,0.22206,0.15375,0.24964,0.22334,0.2185,0.17204,0.24063,0.30065,0.18616,0.09732,0.11674,0.12954,0.12032,0.10684,0.11094,1.0,0.12132
response to wounding,0.09653,0.07215,0.13104,0.13968,0.10703,0.07703,0.10541,0.10708,0.55862,0.07414,0.09122,0.14174,0.12942,0.14039,0.14441,0.12439,0.12226,0.13506,0.12439,0.16389,0.14409,0.12439,0.1556,0.1556,0.20585,0.10098,0.11922,0.12874,0.15162,0.10073,0.09685,0.11023,0.13104,0.20202,0.1012,0.14202,0.1137,0.10784,0.14528,0.21684,0.13007,0.11785,0.11312,0.0748,0.06748,0.12364,0.10492,0.12618,0.08419,0.21161,0.12228,0.11286,0.05372,0.14739,0.17802,0.1079,0.10902,0.10962,0.12132,1.0
